# software=NimbleScan   version=xxx  imagefile=20551_PMT1.tif       designfile=MOD_2003-12-05_SUZ12_1in2.ndf      designname=MOD_2003-12-05_SUZ12_1in2  designid=xxx   date=xxx Dec 05 10:17:14 CDT 2003   border=0        ul_x=xxx     ul_y=xxx    ur_x=xxx   ur_y=xxx     lr_x=xxx   lr_y=xxx   ll_x=xxx     ll_y=xxx       score=xxx     qcscore=xxx   locallyaligned=no       auto=yes
IMAGE_ID	GENE_EXPR_OPTION	SEQ_ID	PROBE_ID	POSITION	X	Y	MATCH_INDEX	PM	MM
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021781	1	269	78	36601046	1149.33	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021783	16	682	779	36601047	1192	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021785	31	92	405	36601048	685.56	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021787	46	219	608	36601049	562.67	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021789	61	217	418	36601050	584.56	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021791	76	147	406	36601051	636.22	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021793	91	376	317	36601052	600.89	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021795	106	299	288	36601053	832.89	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021797	121	280	31	36601054	1192	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021799	136	468	927	36601055	1044.22	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021801	151	341	404	36601056	816.22	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021803	166	535	50	36601057	690.44	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021805	181	31	106	36601058	1049.67	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021807	196	193	320	36601059	1346.56	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021809	211	523	856	36601060	912.44	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021811	226	199	96	36601061	1678.22	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021813	241	727	832	36601062	2577.78	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021815	256	284	229	36601063	1446.78	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021817	271	355	750	36601064	1559.44	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021819	286	208	383	36601065	1629.22	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021821	301	679	594	36601066	2594	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021823	316	484	231	36601067	1486.67	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021825	331	130	413	36601068	1287.56	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021827	346	49	718	36601069	1127.44	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021829	361	302	837	36601070	1032.78	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021831	376	745	728	36601071	1302.11	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021833	391	606	29	36601072	940.89	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021835	406	393	984	36601073	922.89	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021837	421	593	424	36601074	717.67	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021839	436	734	587	36601075	1611.89	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021841	451	685	438	36601076	2171.44	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021843	466	521	628	36601077	1827	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021845	481	52	883	36601078	3278.89	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021847	496	86	627	36601079	1425.11	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021849	511	365	990	36601080	649.33	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021851	526	299	764	36601081	1009.22	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021853	541	277	232	36601082	1139.44	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021855	556	115	390	36601083	1650.78	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021857	571	283	972	36601084	532.33	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021859	586	343	744	36601085	463.67	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021861	601	128	97	36601086	746.44	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021863	616	548	103	36601087	1093.67	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021865	631	82	423	36601088	3259.22	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021867	646	47	428	36601089	4472	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021869	661	609	566	36601090	1798.78	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021871	676	747	772	36601091	545.33	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021873	691	167	330	36601092	652.44	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021875	706	511	180	36601093	603.33	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021877	721	359	350	36601094	679.89	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021879	736	486	289	36601095	770.67	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021881	751	424	237	36601096	1156.44	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021883	766	83	30	36601097	4548	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021885	781	624	575	36601098	3985.11	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021887	796	307	402	36601099	3553	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021889	811	292	441	36601100	1538.56	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021891	826	545	162	36601101	681.44	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021893	841	193	850	36601102	1259.11	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021895	856	546	43	36601103	1198.11	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021897	871	90	947	36601104	1507.33	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021899	886	79	176	36601105	2057.56	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021901	901	403	628	36601106	2106.89	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021903	916	677	440	36601107	5065.11	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021905	931	653	744	36601108	4639.67	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021907	946	110	901	36601109	1985.22	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021909	961	582	327	36601110	1326	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021911	976	548	995	36601111	888.67	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021913	991	602	911	36601112	884.78	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021915	1006	50	587	36601113	1324.22	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021917	1021	472	151	36601114	1223.44	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021919	1036	672	531	36601115	1906.11	0
20551_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021921	1051	498	835	36601116	1741.22	0
