# software=NimbleScan	version=2.2.14	imagefile=I:\iceland-mirror\New_image_files\ORDER_ID1791_Rieck_RZPD\55773_635.tif	designfile=I:\NimbleScan\pipeline\Design_files\2005-07-28_Mouse_heart_ChIP.ndf	designname=2005-07-28_Mouse_heart_ChIP	designid=2389	date=Wed Aug 17 10:25:05 CDT 2005	border=0	ul_x=59.080	ul_y=26.630	ur_x=2655.330	ur_y=33.650	lr_x=2646.370	lr_y=3500.460	ll_x=49.920	ll_y=3492.730	score=0.158	qcscore=0.178	locallyaligned=no	auto=yes
IMAGE_ID	GENE_EXPR_OPTION	SEQ_ID	PROBE_ID	POSITION	X	Y	MATCH_INDEX	SEQ_URL	PM	MM
55773_635	BLOCK1	chr11:20230890-20230990	CHR11P020230890	20230890	672	600	39853667	NA	30161.33	0
55773_635	BLOCK1	chr11:20231216-20231315	CHR11P020231216	20231216	541	603	39867116	NA	18996.22	0
55773_635	BLOCK1	chr11:20231584-20233783	CHR11P020231584	20231584	592	812	40048471	NA	7521.11	0
55773_635	BLOCK1	chr2:28894632-28896831	CHR2P028894632	28894632	388	48	39974238	NA	9846.78	0
55773_635	BLOCK1	chr4:56640054-56642253	CHR4P056640054	56640054	78	838	39726901	NA	8704.11	0
55773_635	BLOCK1	chr4:90182945-90185144	CHR4P090182945	90182945	366	280	39939651	NA	10070.22	0
55773_635	BLOCK1	chr8:56101891-56108604	CHR8P056102656	56102656	734	916	39725855	NA	1406.33	0
55773_635	BLOCK1	chr8:56101891-56108604	CHR8P056106873	56106873	408	86	39740169	NA	550.78	0
55773_635	BLOCK1	chr8:56101891-56108604	CHR8P056105546	56105546	538	214	39741341	NA	1246.67	0
55773_635	BLOCK1	chr8:56101891-56108604	CHR8P056103591	56103591	344	946	39741874	NA	30306.33	0
55773_635	BLOCK1	chr8:56101891-56108604	CHR8P056107141	56107141	273	7	39742067	NA	1572.11	0
55773_635	BLOCK1	chr8:56101891-56108604	CHR8P056102401	56102401	204	616	39745204	NA	1371.78	0
55773_635	BLOCK1	chr8:56101891-56108604	CHR8P056107396	56107396	736	952	39750975	NA	6178.11	0
55773_635	BLOCK1	chr8:56101891-56108604	CHR8P056101891	56101891	607	461	39752515	NA	2171	0
55773_635	BLOCK1	chr8:56101891-56108604	CHR8P056108076	56108076	51	939	39756854	NA	7829.22	0
55773_635	BLOCK1	chr8:56101891-56108604	CHR8P056104101	56104101	491	301	39758382	NA	35650.22	0
55773_635	BLOCK1	chr8:56101891-56108604	CHR8P056108331	56108331	601	785	39758663	NA	9214.33	0
55773_635	BLOCK1	chr8:56101891-56108604	CHR8P056105036	56105036	211	717	39764959	NA	9136.89	0
55773_635	BLOCK1	chr8:56101891-56108604	CHR8P056106605	56106605	372	150	39765826	NA	447.89	0
55773_635	BLOCK1	chr8:56101891-56108604	CHR8P056103506	56103506	37	673	39771655	NA	40917	0
55773_635	BLOCK1	chr8:56101891-56108604	CHR8P056103846	56103846	221	1	39775343	NA	14165.78	0
55773_635	BLOCK1	chr8:56101891-56108604	CHR8P056107736	56107736	264	672	39775665	NA	5425.89	0
55773_635	BLOCK1	chr8:56101891-56108604	CHR8P056104186	56104186	124	914	39775867	NA	16612.22	0
55773_635	BLOCK1	chr8:56101891-56108604	CHR8P056104696	56104696	152	10	39778103	NA	34186.78	0
55773_635	BLOCK1	chr8:56101891-56108604	CHR8P056103421	56103421	373	619	39781281	NA	9880.22	0
55773_635	BLOCK1	chr8:56101891-56108604	CHR8P056103081	56103081	347	721	39789662	NA	7698.11	0
55773_635	BLOCK1	chr8:56101891-56108604	CHR8P056106210	56106210	500	836	39793436	NA	2148.78	0
55773_635	BLOCK1	chr8:56101891-56108604	CHR8P056102996	56102996	270	956	39794167	NA	1965.56	0
55773_635	BLOCK1	chr8:56101891-56108604	CHR8P056107821	56107821	242	288	39795281	NA	7263.44	0
55773_635	BLOCK1	chr8:56101891-56108604	CHR8P056102911	56102911	736	948	39803298	NA	2986	0
55773_635	BLOCK1	chr8:56101891-56108604	CHR8P056108501	56108501	5	233	39809655	NA	4737	0
55773_635	BLOCK1	chr8:56101891-56108604	CHR8P056105206	56105206	754	496	39811413	NA	6591.33	0
55773_635	BLOCK1	chr8:56101891-56108604	CHR8P056107906	56107906	544	916	39811753	NA	9493.11	0
55773_635	BLOCK1	chr8:56101891-56108604	CHR8P056104356	56104356	9	551	39844775	NA	28629.22	0
55773_635	BLOCK1	chr8:56101891-56108604	CHR8P056103336	56103336	167	955	39845787	NA	13982.89	0
55773_635	BLOCK1	chr8:56101891-56108604	CHR8P056102146	56102146	541	803	39847105	NA	1036.33	0
55773_635	BLOCK1	chr8:56101891-56108604	CHR8P056102571	56102571	581	853	39848260	NA	1252.78	0
55773_635	BLOCK1	chr8:56101891-56108604	CHR8P056107991	56107991	344	330	39852711	NA	4193.44	0
55773_635	BLOCK1	chr8:56101891-56108604	CHR8P056108161	56108161	415	419	39859999	NA	4282.44	0
55773_635	BLOCK1	chr8:56101891-56108604	CHR8P056104866	56104866	278	156	39861955	NA	6851.33	0
55773_635	BLOCK1	chr8:56101891-56108604	CHR8P056106690	56106690	613	367	39868297	NA	589.67	0
55773_635	BLOCK1	chr8:56101891-56108604	CHR8P056102826	56102826	196	978	39874855	NA	2998.89	0
55773_635	BLOCK1	chr8:56101891-56108604	CHR8P056105461	56105461	440	378	39874865	NA	6121.56	0
